Percentile,MeanFractionalPathLength,TaxonomyLevel,TaxonomyValue
0.0,0.3278644982020267,Academia,Academia
0.01,0.3289393734809613,Academia,Academia
0.02,0.33161132345914945,Academia,Academia
0.03,0.33378623188405787,Academia,Academia
0.04,0.33519820971867,Academia,Academia
0.05,0.3373231538992407,Academia,Academia
0.06,0.3391598119858989,Academia,Academia
0.07,0.3446470538861842,Academia,Academia
0.08,0.3503385955831608,Academia,Academia
0.09,0.3493998657042135,Academia,Academia
0.1,0.35090020144367967,Academia,Academia
0.11,0.3506297446514838,Academia,Academia
0.12,0.35062741312741313,Academia,Academia
0.13,0.35321890213194557,Academia,Academia
0.14,0.3524521221532091,Academia,Academia
0.15,0.35378546248111464,Academia,Academia
0.16,0.35338677186503265,Academia,Academia
0.17,0.35143849206349204,Academia,Academia
0.18,0.3484031391640086,Academia,Academia
0.19,0.35673367466845723,Academia,Academia
0.2,0.3583290200138026,Academia,Academia
0.21,0.3637946953164344,Academia,Academia
0.22,0.3651271613228134,Academia,Academia
0.23,0.3641520013802622,Academia,Academia
0.24,0.36723602484472045,Academia,Academia
0.25,0.37212523082088295,Academia,Academia
0.26,0.3727355072463767,Academia,Academia
0.27,0.3718524425046164,Academia,Academia
0.28,0.37263933187846227,Academia,Academia
0.29,0.3712042788129744,Academia,Academia
0.3,0.37325835151922104,Academia,Academia
0.31,0.3722091656874265,Academia,Academia
0.32,0.3776203416149067,Academia,Academia
0.33,0.38125314755749534,Academia,Academia
0.34,0.38320463320463316,Academia,Academia
0.35000000000000003,0.38249439268461005,Academia,Academia
0.36,0.3877266241396676,Academia,Academia
0.37,0.3914512338425382,Academia,Academia
0.38,0.3965665976535541,Academia,Academia
0.39,0.3968335571596441,Academia,Academia
0.4,0.3959522410609367,Academia,Academia
0.41000000000000003,0.3976664941338854,Academia,Academia
0.42,0.3979037267080745,Academia,Academia
0.43,0.3964138828269263,Academia,Academia
0.44,0.3985291580400276,Academia,Academia
0.45,0.3978498102139406,Academia,Academia
0.46,0.3973645617667356,Academia,Academia
0.47000000000000003,0.407564330079858,Academia,Academia
0.48,0.40788906142167003,Academia,Academia
0.49,0.40795376121463073,Academia,Academia
0.5,0.40980087687248806,Academia,Academia
0.51,0.4084183673469387,Academia,Academia
0.52,0.40679902395740897,Academia,Academia
0.53,0.4071405736207526,Academia,Academia
0.54,0.4068322981366459,Academia,Academia
0.55,0.4059480676328502,Academia,Academia
0.56,0.40612244897959177,Academia,Academia
0.5700000000000001,0.3993594720496894,Academia,Academia
0.58,0.4035541752933057,Academia,Academia
0.59,0.40560115350488013,Academia,Academia
0.6,0.40504868222259527,Academia,Academia
0.61,0.4090355883834144,Academia,Academia
0.62,0.4094634230503796,Academia,Academia
0.63,0.4145438140003357,Academia,Academia
0.64,0.41953793855967764,Academia,Academia
0.65,0.4194918909592822,Academia,Academia
0.66,0.4209753231492362,Academia,Academia
0.67,0.4202618767836159,Academia,Academia
0.68,0.4210339026915114,Academia,Academia
0.6900000000000001,0.41906580493537016,Academia,Academia
0.7000000000000001,0.4233674668457276,Academia,Academia
0.71,0.4235140614216701,Academia,Academia
0.72,0.42390255161994295,Academia,Academia
0.73,0.42182108350586606,Academia,Academia
0.74,0.417790594498669,Academia,Academia
0.75,0.42230633195307105,Academia,Academia
0.76,0.42210144927536225,Academia,Academia
0.77,0.4280501330967169,Academia,Academia
0.78,0.42639320220841953,Academia,Academia
0.79,0.42902432712215316,Academia,Academia
0.8,0.4288930789707187,Academia,Academia
0.81,0.43141821946169767,Academia,Academia
0.8200000000000001,0.435904071773637,Academia,Academia
0.8300000000000001,0.45190648723257415,Academia,Academia
0.84,0.45455917874396135,Academia,Academia
0.85,0.4576000690131124,Academia,Academia
0.86,0.45905057675244004,Academia,Academia
0.87,0.4628515355417529,Academia,Academia
0.88,0.46251725327812276,Academia,Academia
0.89,0.46421916592724044,Academia,Academia
0.9,0.4703135783298826,Academia,Academia
0.91,0.47435731538992404,Academia,Academia
0.92,0.4813664596273291,Academia,Academia
0.93,0.4696342305037956,Academia,Academia
0.9400000000000001,0.4695421353030048,Academia,Academia
0.9500000000000001,0.47434653209109723,Academia,Academia
0.96,0.4790372670807453,Academia,Academia
0.97,0.4755568644249303,Academia,Academia
0.98,0.4826863354037267,Academia,Academia
0.99,0.4892010163749294,Academia,Academia
1.0,0.4886128364389233,Academia,Academia
0.0,0.3600288600288599,Umbrella,Applied Sciences
0.01,0.3603479853479853,Umbrella,Applied Sciences
0.02,0.3607804232804232,Umbrella,Applied Sciences
0.03,0.36405055849500284,Umbrella,Applied Sciences
0.04,0.3630621693121692,Umbrella,Applied Sciences
0.05,0.36397707231040555,Umbrella,Applied Sciences
0.06,0.3659611992945325,Umbrella,Applied Sciences
0.07,0.36662257495590816,Umbrella,Applied Sciences
0.08,0.3653628117913831,Umbrella,Applied Sciences
0.09,0.3658008658008657,Umbrella,Applied Sciences
0.1,0.3635161135161134,Umbrella,Applied Sciences
0.11,0.36264430014430005,Umbrella,Applied Sciences
0.12,0.3605127236079616,Umbrella,Applied Sciences
0.13,0.3627802973041067,Umbrella,Applied Sciences
0.14,0.3636306374401611,Umbrella,Applied Sciences
0.15,0.3617409926933735,Umbrella,Applied Sciences
0.16,0.36087061087061073,Umbrella,Applied Sciences
0.17,0.3637566137566136,Umbrella,Applied Sciences
0.18,0.3658309283309283,Umbrella,Applied Sciences
0.19,0.37216553287981846,Umbrella,Applied Sciences
0.2,0.3744646006550767,Umbrella,Applied Sciences
0.21,0.37796044343663376,Umbrella,Applied Sciences
0.22,0.38017075517075505,Umbrella,Applied Sciences
0.23,0.3760822510822509,Umbrella,Applied Sciences
0.24,0.37770562770562754,Umbrella,Applied Sciences
0.25,0.3774880322499369,Umbrella,Applied Sciences
0.26,0.3802910052910052,Umbrella,Applied Sciences
0.27,0.3789367598891407,Umbrella,Applied Sciences
0.28,0.3781494079113126,Umbrella,Applied Sciences
0.29,0.37836700336700324,Umbrella,Applied Sciences
